exchange,instrumenttype,name,segment,symbol,symboltoken
NFO,OPTSTK,GRASIM,NFO,GRASIM30SEP252780CE,87138
NFO,OPTSTK,GRASIM,NFO,GRASIM30SEP252820PE,87141
NFO,OPTSTK,HINDALCO,NFO,HINDALCO28OCT25670PE,87186
NFO,OPTSTK,HINDALCO,NFO,HINDALCO28OCT25690PE,87188
NFO,OPTSTK,GRASIM,NFO,GRASIM30SEP252980PE,87195
NFO,OPTSTK,GLENMARK,NFO,GLENMARK30SEP251680CE,87341
NFO,OPTSTK,GLENMARK,NFO,GLENMARK30SEP252080CE,87361
NFO,OPTSTK,GLENMARK,NFO,GLENMARK30SEP252320PE,87372
NFO,OPTSTK,HINDALCO,NFO,HINDALCO25NOV25700PE,87390
NFO,OPTSTK,HINDPETRO,NFO,HINDPETRO28OCT25395PE,87485
NFO,OPTSTK,GRASIM,NFO,GRASIM28OCT252440PE,87624
NFO,OPTSTK,GRASIM,NFO,GRASIM28OCT252640PE,87634
NFO,OPTSTK,GMRAIRPORT,NFO,GMRAIRPORT30SEP2588PE,87652
NFO,OPTSTK,GMRAIRPORT,NFO,GMRAIRPORT30SEP2592PE,87658
NFO,OPTSTK,GRASIM,NFO,GRASIM28OCT252800PE,87666
NFO,OPTSTK,HINDPETRO,NFO,HINDPETRO25NOV25320CE,87716
NFO,OPTSTK,GRASIM,NFO,GRASIM28OCT253040CE,87721
NFO,OPTSTK,HINDPETRO,NFO,HINDPETRO25NOV25340CE,87728
NFO,OPTSTK,HINDPETRO,NFO,HINDPETRO25NOV25380PE,87777
NFO,OPTSTK,GODREJCP,NFO,GODREJCP30SEP251120PE,87795
NFO,OPTSTK,HINDPETRO,NFO,HINDPETRO25NOV25400PE,87824
NFO,OPTSTK,HAL,NFO,HAL30SEP254100CE,87827
NFO,OPTSTK,GODREJCP,NFO,GODREJCP30SEP251360PE,87836
NFO,OPTSTK,HINDPETRO,NFO,HINDPETRO25NOV25440PE,87842
NFO,OPTSTK,HINDUNILVR,NFO,HINDUNILVR28OCT252620PE,87923
NFO,OPTSTK,GODREJPROP,NFO,GODREJPROP30SEP251900PE,88009
NFO,OPTSTK,HAL,NFO,HAL28OCT253600PE,88022
NFO,OPTSTK,HAL,NFO,HAL28OCT255000PE,88036
NFO,OPTSTK,HAVELLS,NFO,HAVELLS30SEP251340PE,88141
NFO,OPTSTK,GODREJPROP,NFO,GODREJPROP30SEP252300PE,88159
NFO,OPTSTK,HINDUNILVR,NFO,HINDUNILVR25NOV252400CE,88187
NFO,OPTSTK,GODREJPROP,NFO,GODREJPROP30SEP252500CE,88202
NFO,OPTSTK,HAVELLS,NFO,HAVELLS30SEP251620CE,88223
NFO,OPTSTK,HAVELLS,NFO,HAVELLS30SEP251700PE,88228
NFO,OPTSTK,HINDUNILVR,NFO,HINDUNILVR25NOV252800CE,88263
NFO,OPTSTK,HINDUNILVR,NFO,HINDUNILVR25NOV252800PE,88264
NFO,OPTSTK,HAVELLS,NFO,HAVELLS28OCT251400PE,88322
NFO,OPTSTK,HAVELLS,NFO,HAVELLS28OCT251560PE,88334
NFO,OPTSTK,HAVELLS,NFO,HAVELLS28OCT251720PE,88383
NFO,OPTSTK,HINDZINC,NFO,HINDZINC28OCT25430PE,88394
NFO,OPTSTK,HINDZINC,NFO,HINDZINC25NOV25360CE,88505
NFO,OPTSTK,HINDZINC,NFO,HINDZINC25NOV25400CE,88511
NFO,OPTSTK,HINDZINC,NFO,HINDZINC25NOV25420PE,88514
NFO,OPTSTK,HUDCO,NFO,HUDCO28OCT25185PE,88625
NFO,OPTSTK,HUDCO,NFO,HUDCO25NOV25180PE,88695
NFO,OPTSTK,HUDCO,NFO,HUDCO25NOV25200CE,88698
NFO,OPTSTK,GRASIM,NFO,GRASIM30SEP253040CE,88831
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK28OCT251270CE,88914
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK28OCT251290CE,88916
NFO,OPTSTK,HCLTECH,NFO,HCLTECH28OCT251400PE,88978
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK28OCT251330CE,88991
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK28OCT251410CE,88999
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK28OCT251510PE,89036
NFO,OPTSTK,HDFCAMC,NFO,HDFCAMC28OCT255200PE,89104
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK28OCT251530PE,89106
NFO,OPTSTK,HAL,NFO,HAL30SEP255000CE,89175
NFO,OPTSTK,HAL,NFO,HAL30SEP255000PE,89176
NFO,OPTSTK,HAL,NFO,HAL30SEP255200PE,89180
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK25NOV251240CE,89269
NFO,OPTSTK,HDFCBANK,NFO,HDFCBANK30SEP25870CE,89284
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK25NOV251320PE,89285
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK25NOV251340PE,89303
NFO,OPTSTK,ICICIBANK,NFO,ICICIBANK25NOV251520CE,89342
NFO,OPTSTK,HDFCBANK,NFO,HDFCBANK28OCT25800PE,89504
NFO,OPTSTK,HDFCBANK,NFO,HDFCBANK28OCT25840CE,89507
NFO,OPTSTK,HDFCBANK,NFO,HDFCBANK28OCT25840PE,89508
NFO,OPTSTK,HDFCBANK,NFO,HDFCBANK28OCT25860PE,89510
NFO,OPTSTK,ICICIGI,NFO,ICICIGI28OCT251780CE,89535
NFO,OPTSTK,ICICIGI,NFO,ICICIGI28OCT251820CE,89537
NFO,OPTSTK,HDFCBANK,NFO,HDFCBANK28OCT25980PE,89551
NFO,OPTIDX,NIFTY,NFO,NIFTY26JUN2919000PE,89615
NFO,OPTIDX,NIFTY,NFO,NIFTY26JUN2926000CE,89634
NFO,OPTIDX,NIFTY,NFO,NIFTY26JUN2931000PE,89645
NFO,OPTSTK,ICICIGI,NFO,ICICIGI28OCT251980PE,89670
NFO,OPTSTK,HAVELLS,NFO,HAVELLS30SEP251320CE,89693
NFO,OPTSTK,HAVELLS,NFO,HAVELLS30SEP251360CE,89696
NFO,OPTSTK,HAVELLS,NFO,HAVELLS30SEP251640CE,89712
NFO,OPTSTK,HAVELLS,NFO,HAVELLS30SEP251800PE,89736
NFO,OPTSTK,HDFCLIFE,NFO,HDFCLIFE30SEP25710CE,89752
NFO,OPTSTK,HDFCLIFE,NFO,HDFCLIFE30SEP25790CE,89818
NFO,OPTSTK,HDFCLIFE,NFO,HDFCLIFE30SEP25850PE,89825
NFO,OPTSTK,ICICIGI,NFO,ICICIGI25NOV251520CE,89892
NFO,OPTSTK,ICICIGI,NFO,ICICIGI25NOV251680PE,89901
NFO,OPTSTK,ICICIGI,NFO,ICICIGI25NOV251840CE,89908
NFO,OPTSTK,ICICIGI,NFO,ICICIGI25NOV252160CE,89934
NFO,OPTSTK,ICICIPRULI,NFO,ICICIPRULI28OCT25550CE,90007
NFO,OPTSTK,ICICIPRULI,NFO,ICICIPRULI28OCT25570CE,90009
NFO,OPTSTK,ICICIPRULI,NFO,ICICIPRULI28OCT25590CE,90011
NFO,OPTSTK,HCLTECH,NFO,HCLTECH30SEP251640PE,90044
NFO,OPTSTK,HCLTECH,NFO,HCLTECH30SEP251760PE,90072
NFO,OPTSTK,HDFCLIFE,NFO,HDFCLIFE28OCT25660PE,90081
NFO,OPTSTK,HDFCLIFE,NFO,HDFCLIFE28OCT25760CE,90104
NFO,OPTSTK,HDFCLIFE,NFO,HDFCLIFE28OCT25780PE,90107
NFO,OPTSTK,ICICIPRULI,NFO,ICICIPRULI25NOV25580CE,90150
NFO,OPTSTK,ICICIPRULI,NFO,ICICIPRULI25NOV25580PE,90151
NFO,OPTSTK,ICICIPRULI,NFO,ICICIPRULI25NOV25640CE,90156
NFO,OPTSTK,ICICIPRULI,NFO,ICICIPRULI25NOV25680PE,90174
NFO,OPTSTK,IDEA,NFO,IDEA28OCT259PE,90205
NFO,OPTSTK,HEROMOTOCO,NFO,HEROMOTOCO30SEP254450PE,90339
NFO,OPTSTK,HEROMOTOCO,NFO,HEROMOTOCO30SEP254950PE,90349
NFO,OPTSTK,IDFCFIRSTB,NFO,IDFCFIRSTB28OCT2573CE,90413
NFO,OPTSTK,HDFCAMC,NFO,HDFCAMC30SEP254800CE,90439
NFO,OPTSTK,HDFCAMC,NFO,HDFCAMC30SEP255000CE,90441
NFO,OPTSTK,HDFCAMC,NFO,HDFCAMC30SEP255200PE,90444
NFO,OPTSTK,HDFCAMC,NFO,HDFCAMC30SEP256400PE,90456
NFO,OPTSTK,IDFCFIRSTB,NFO,IDFCFIRSTB25NOV2570CE,90577
NFO,OPTSTK,IDFCFIRSTB,NFO,IDFCFIRSTB25NOV2578CE,90585
NFO,OPTSTK,HEROMOTOCO,NFO,HEROMOTOCO28OCT254500CE,90605
NFO,OPTSTK,HEROMOTOCO,NFO,HEROMOTOCO28OCT255600CE,90648
NFO,OPTSTK,HFCL,NFO,HFCL30SEP2582.5CE,90670
NFO,OPTSTK,IEX,NFO,IEX28OCT25137.5CE,90707
NFO,OPTSTK,HFCL,NFO,HFCL28OCT2555CE,90711
NFO,OPTSTK,HFCL,NFO,HFCL28OCT2560CE,90713
NFO,OPTSTK,IEX,NFO,IEX28OCT25147.5CE,90717
NFO,OPTSTK,IEX,NFO,IEX28OCT25147.5PE,90790
NFO,OPTSTK,HINDALCO,NFO,HINDALCO30SEP25630CE,90852
NFO,OPTSTK,HDFCBANK,NFO,HDFCBANK30SEP251100PE,90961
NFO,OPTSTK,IEX,NFO,IEX25NOV25140PE,91033
NFO,OPTSTK,IGL,NFO,IGL28OCT25235CE,91101
NFO,OPTSTK,HINDALCO,NFO,HINDALCO28OCT25760CE,91115
NFO,OPTSTK,IGL,NFO,IGL25NOV25160CE,91141
NFO,OPTSTK,IGL,NFO,IGL25NOV25190PE,91148
NFO,OPTSTK,IGL,NFO,IGL25NOV25220PE,91154
NFO,OPTSTK,IGL,NFO,IGL25NOV25260PE,91180
NFO,OPTSTK,IIFL,NFO,IIFL28OCT25430PE,91274
NFO,OPTSTK,HDFCLIFE,NFO,HDFCLIFE30SEP25660CE,91303
NFO,OPTSTK,HDFCLIFE,NFO,HDFCLIFE30SEP25860CE,91327
NFO,OPTSTK,IIFL,NFO,IIFL25NOV25460CE,91367
NFO,OPTSTK,INDHOTEL,NFO,INDHOTEL25NOV25640PE,91509
NFO,OPTSTK,INDIANB,NFO,INDIANB28OCT25730CE,91677
NFO,OPTSTK,HINDUNILVR,NFO,HINDUNILVR28OCT252360CE,91840
NFO,OPTSTK,HINDUNILVR,NFO,HINDUNILVR28OCT252400CE,91842
